"LANGUAGE","NAME","VERSION","LICENSES","COPYRIGHTS","URL"
"java","aopalliance:aopalliance","1.0","PUBDOM","","https://mvnrepository.com/artifact/aopalliance/aopalliance"
"java","com.sun.org.apache.xml.internal:resolver","20050927","MIT","","https://mvnrepository.com/artifact/com.sun.org.apache.xml.internal/resolver"
"java","com.sun.xml.bind:jaxb-core","2.2.10-b140802.1033","CDDL-1.1","","https://mvnrepository.com/artifact/com.sun.xml.bind/jaxb-core"
"java","com.sun.xml.bind:jaxb-impl","2.2.10-b140802.1033","CDDL-1.1","","https://mvnrepository.com/artifact/com.sun.xml.bind/jaxb-impl"
"java","com.sun.xml.bind:jaxb-jxc","2.2.10-b140802.1033","CDDL-1.1","","https://mvnrepository.com/artifact/com.sun.xml.bind/jaxb-jxc"
"java","com.sun.xml.bind:jaxb-xjc","2.2.10-b140802.1033","CDDL-1.1","","https://mvnrepository.com/artifact/com.sun.xml.bind/jaxb-xjc"
"java","com.sun.xml.fastinfoset:FastInfoset","1.2.13","Apache-2.0","","https://mvnrepository.com/artifact/com.sun.xml.fastinfoset/FastInfoset"
"java","com.sun.xml.messaging.saaj:saaj-impl","1.3.25","CDDL-1.0,Artistic-1.0","","https://mvnrepository.com/artifact/com.sun.xml.messaging.saaj/saaj-impl"
"java","com.sun.xml.stream.buffer:streambuffer","1.5.3","CDDL-1.1,EDL-1.0","","https://mvnrepository.com/artifact/com.sun.xml.stream.buffer/streambuffer"
"java","com.sun.xml.ws:jaxws-rt","2.2.10","CDDL-1.1","","https://mvnrepository.com/artifact/com.sun.xml.ws/jaxws-rt"
"java","com.sun.xml.ws:jaxws-tools","2.2.10","CDDL-1.1","","https://mvnrepository.com/artifact/com.sun.xml.ws/jaxws-tools"
"java","com.sun.xml.ws:policy","2.4","CDDL-1.1","","https://mvnrepository.com/artifact/com.sun.xml.ws/policy"
"java","com.thoughtworks.xstream:xstream","1.4.7","BSD,BSD-3-Clause","","https://mvnrepository.com/artifact/com.thoughtworks.xstream/xstream"
"java","commons-codec:commons-codec","1.4","Apache-2.0","","https://mvnrepository.com/artifact/commons-codec/commons-codec"
"java","epayservices-ejb-api","4.8.0","","",""
"java","javax.annotation:javax.annotation-api","1.2","CDDL-1.1","","https://mvnrepository.com/artifact/javax.annotation/javax.annotation-api"
