"LANGUAGE","NAME","VERSION","LICENSES","COPYRIGHTS","URL"
"java","aopalliance:aopalliance","1.0","PUBDOM","","https://mvnrepository.com/artifact/aopalliance/aopalliance"
"java","asm:asm","3.3.1","BSD-3-Clause-INRIA,BSD","","https://mvnrepository.com/artifact/asm/asm"
"java","axis","1.4","Apache-2.0","","https://mvnrepository.com/artifact/axis"
"java","axis:axis-jaxrpc","1.4","Apache-2.0","","https://mvnrepository.com/artifact/axis/axis-jaxrpc"
"java","axis:axis-saaj","1.2.1","Apache-2.0","","https://mvnrepository.com/artifact/axis/axis-saaj"
"java","cglib:cglib","2.2.2","Apache-2.0","","https://mvnrepository.com/artifact/cglib/cglib"
"java","com.fasterxml.jackson.core:jackson-annotations","2.9.9","Apache-2.0","","https://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-annotations"
"java","com.fasterxml.jackson.core:jackson-core","2.9.9","Apache-2.0","Copyright (c) 2007 Tatu Saloranta, tatu.salorantaiki.fi/","https://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-core"
"java","com.fasterxml.jackson.core:jackson-databind","2.9.9","LGPL-3.0-only,Apache-2.0","Copyright 2011 Google Inc. All Rights Reserved.","https://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-databind"
"java","com.github.virtuald:curvesapi","1.04","BSD","Copyright (c) 2005, Graph Builder","https://mvnrepository.com/artifact/com.github.virtuald/curvesapi"
"java","com.thoughtworks.xstream:xstream","1.4.7","BSD,BSD-3-Clause","","https://mvnrepository.com/artifact/com.thoughtworks.xstream/xstream"
"java","commons-beanutils:commons-beanutils","1.7.0","Apache-2.0","","https://mvnrepository.com/artifact/commons-beanutils/commons-beanutils"
"java","commons-codec:commons-codec","1.7","Apache-2.0","","https://mvnrepository.com/artifact/commons-codec/commons-codec"
"java","commons-digester:commons-digester","1.8","Apache-2.0","","https://mvnrepository.com/artifact/commons-digester/commons-digester"
"java","commons-discovery:commons-discovery","0.2","Apache-2.0","","https://mvnrepository.com/artifact/commons-discovery/commons-discovery"
"java","commons-fileupload:commons-fileupload","1.2","Apache-2.0","","https://mvnrepository.com/artifact/commons-fileupload/commons-fileupload"
"java","commons-httpclient:commons-httpclient","3.1","Apache-2.0","","https://mvnrepository.com/artifact/commons-httpclient/commons-httpclient"
"java","commons-io:commons-io","1.3.1","Apache-2.0","","https://mvnrepository.com/artifact/commons-io/commons-io"
"java","commons-lang:commons-lang","2.2","Apache-2.0","","https://mvnrepository.com/artifact/commons-lang/commons-lang"
"java","commons-logging:commons-logging-api","1.1","Apache-2.0","","https://mvnrepository.com/artifact/commons-logging/commons-logging-api"
"java","csi-apachesoap","1.2.2","Apache-2.0","",""
"java","csi-core","1.2.2","Apache-2.0","",""
"java","csi-ejb","1.2.2","Apache-2.0","",""
"java","csi-rmi","1.2.2","Apache-2.0","",""
"java","csi-stadapter","1.2.2","Apache-2.0","",""
"java","csi-tools","1.2.2","Apache-2.0","",""
"java","ecmengine-ws-client","8.0.0","Apache-2.0","",""
"java","iridev2-pep-intf","2.0.0","Apache-2.0","CSI Piemonte",""
"java","j2ee","1.3","EPL-1.0","","https://mvnrepository.com/artifact/j2ee"
"java","jasperreports","4.1.3","LGPL-2.1","","https://mvnrepository.com/artifact/jasperreports"
"java","javax.mail:mail","--","CDDL;GPL-2.0","","https://mvnrepository.com/artifact/javax.mail/mail"
"java","javax.validation:validation-api","1.0.0.GA-redhat-3","Apache-2.0","","https://mvnrepository.com/artifact/javax.validation/validation-api"
"java","javax.xml.bind:activation","1.0.2","CDDL-1.1","","https://mvnrepository.com/artifact/javax.xml.bind/activation"
"java","jaxp","1.1","Apache-2.0","",""
"java","jcert","1.0.3","CDDL","",""
"java","jms","1.0.2","CDDL","","https://mvnrepository.com/artifact/jms"
"java","jndi","1.2.1","CDDL","","https://mvnrepository.com/artifact/jndi"
"java","jnet","1.0.3","CDDL","",""
"java","joda-time:joda-time","1.6","Apache-2.0,Apache-1.0","","https://mvnrepository.com/artifact/joda-time/joda-time"
"java","jsse","1.0.3","CDDL","",""
"java","net.sf.jasperreports:jasperreports-fonts","--","LGPL-2.1","","https://mvnrepository.com/artifact/net.sf.jasperreports/jasperreports-fonts"
"java","org.apache.commons:commons-collections4","4.1","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.commons/commons-collections4"
"java","org.apache.commons:commons-lang3","3.1","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.commons/commons-lang3"
"java","org.apache.logging.log4j:log4j-1.2-api","2.17.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-1.2-api"
"java","org.apache.logging.log4j:log4j-api","2.17.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-api"
"java","org.apache.logging.log4j:log4j-appserver","2.17.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-appserver"
"java","org.apache.logging.log4j:log4j-cassandra","2.17.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-cassandra"
"java","org.apache.logging.log4j:log4j-core","2.17.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-core"
"java","org.apache.logging.log4j:log4j-couchdb","2.17.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-couchdb"
"java","org.apache.logging.log4j:log4j-docker","2.17.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-docker"
"java","org.apache.logging.log4j:log4j-flume-ng","2.17.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-flume-ng"
"java","org.apache.logging.log4j:log4j-iostreams","2.17.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-iostreams"
"java","org.apache.logging.log4j:log4j-jcl","2.17.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-jcl"
"java","org.apache.logging.log4j:log4j-jdbc-dbcp2","2.17.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-jdbc-dbcp2"
"java","org.apache.logging.log4j:log4j-jmx-gui","2.17.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-jmx-gui"
"java","org.apache.logging.log4j:log4j-jpa","2.17.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-jpa"
"java","org.apache.logging.log4j:log4j-jul","2.17.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-jul"
"java","org.apache.logging.log4j:log4j-liquibase","2.17.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-liquibase"
"java","org.apache.logging.log4j:log4j-mongodb3","2.17.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-mongodb3"
"java","org.apache.logging.log4j:log4j-mongodb4","2.17.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-mongodb4"
"java","org.apache.logging.log4j:log4j-slf4j-impl","2.17.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-slf4j-impl"
"java","org.apache.logging.log4j:log4j-slf4j18-impl","2.17.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-slf4j18-impl"
"java","org.apache.logging.log4j:log4j-spring-boot","2.17.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-spring-boot"
"java","org.apache.logging.log4j:log4j-spring-cloud-config-client","2.17.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-spring-cloud-config-client"
"java","org.apache.logging.log4j:log4j-taglib","2.17.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-taglib"
"java","org.apache.logging.log4j:log4j-to-slf4j","2.17.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-to-slf4j"
"java","org.apache.logging.log4j:log4j-web","2.17.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-web"
"java","org.apache.poi:poi","3.17","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.poi/poi"
"java","org.apache.poi:poi-excelant","3.17","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.poi/poi-excelant"
"java","org.apache.poi:poi-ooxml","3.17","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.poi/poi-ooxml"
"java","org.apache.poi:poi-ooxml-schemas","3.17","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.poi/poi-ooxml-schemas"
"java","org.apache.poi:poi-scratchpad","3.17","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.poi/poi-scratchpad"
"java","org.apache.xmlbeans:xmlbeans","2.6.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.xmlbeans/xmlbeans"
"java","org.aspectj:aspectjrt","1.7.2","EPL-1.0","","https://mvnrepository.com/artifact/org.aspectj/aspectjrt"
"java","org.aspectj:aspectjweaver","1.7.2","EPL-1.0","","https://mvnrepository.com/artifact/org.aspectj/aspectjweaver"
"java","org.codehaus.jackson:jackson-core-asl","--","Apache-2.0","","https://mvnrepository.com/artifact/org.codehaus.jackson/jackson-core-asl"
"java","org.codehaus.jackson:jackson-mapper-asl","--","Apache-2.0","","https://mvnrepository.com/artifact/org.codehaus.jackson/jackson-mapper-asl"
"java","org.hibernate:hibernate-validator","4.2.0.Final-redhat-1","Apache-2.0","","https://mvnrepository.com/artifact/org.hibernate/hibernate-validator"
"java","org.javassist:javassist","3.17.1-GA","LGPL-2.1,MPL-1.1,Apache-2.0","","https://mvnrepository.com/artifact/org.javassist/javassist"
"java","org.jboss.as:jboss-as-client-all","7.1.2.Final-redhat-1","LGPL-2.1-or-later","","https://mvnrepository.com/artifact/org.jboss.as/jboss-as-client-all"
"java","org.jboss.spec.javax.servlet.jsp:jboss-jsp-api_2.2_spec","1.0.1.Final-redhat-1","LGPL","","https://mvnrepository.com/artifact/org.jboss.spec.javax.servlet.jsp/jboss-jsp-api_2.2_spec"
"java","org.jboss.spec.javax.servlet:jboss-servlet-api_3.0_spec","1.0.1.Final-redhat-1","CDDL-1.0,GPL-2.0-only","","https://mvnrepository.com/artifact/org.jboss.spec.javax.servlet/jboss-servlet-api_3.0_spec"
"java","org.mybatis:mybatis","3.2.3","Apache-2.0","Copyright 2010 Adam Gent","https://mvnrepository.com/artifact/org.mybatis/mybatis"
"java","org.mybatis:mybatis-spring","1.2.1","Apache-2.0","Copyright 2010 The Apache Software Foundation","https://mvnrepository.com/artifact/org.mybatis/mybatis-spring"
"java","org.slf4j:slf4j-api","1.6.1","MIT","","https://mvnrepository.com/artifact/org.slf4j/slf4j-api"
"java","org.springframework.data:spring-data-commons-core","1.4.0.RELEASE","Apache-2.0","","https://mvnrepository.com/artifact/org.springframework.data/spring-data-commons-core"
"java","org.springframework.data:spring-data-jpa","1.5.2.RELEASE","Apache-2.0","","https://mvnrepository.com/artifact/org.springframework.data/spring-data-jpa"
"java","org.springframework.security:spring-security-acl","3.1.0.RELEASE","Apache-2.0","","https://mvnrepository.com/artifact/org.springframework.security/spring-security-acl"
"java","org.springframework.security:spring-security-config","3.1.0.RELEASE","Apache-2.0","","https://mvnrepository.com/artifact/org.springframework.security/spring-security-config"
"java","org.springframework.security:spring-security-core","3.1.0.RELEASE","Apache-2.0","","https://mvnrepository.com/artifact/org.springframework.security/spring-security-core"
"java","org.springframework.security:spring-security-taglibs","3.1.0.RELEASE","Apache-2.0","","https://mvnrepository.com/artifact/org.springframework.security/spring-security-taglibs"
"java","org.springframework.security:spring-security-web","3.1.0.RELEASE","Apache-2.0","","https://mvnrepository.com/artifact/org.springframework.security/spring-security-web"
"java","org.springframework:spring-aop","3.1.1.RELEASE","Apache-2.0","","https://mvnrepository.com/artifact/org.springframework/spring-aop"
"java","org.springframework:spring-asm","3.1.1.RELEASE","Apache-2.0","","https://mvnrepository.com/artifact/org.springframework/spring-asm"
"java","org.springframework:spring-beans","3.1.1.RELEASE","Apache-2.0","","https://mvnrepository.com/artifact/org.springframework/spring-beans"
"java","org.springframework:spring-context","3.1.1.RELEASE","Apache-2.0","","https://mvnrepository.com/artifact/org.springframework/spring-context"
"java","org.springframework:spring-core","3.1.1.RELEASE","Apache-2.0","","https://mvnrepository.com/artifact/org.springframework/spring-core"
