"LANGUAGE","NAME","VERSION","LICENSES","COPYRIGHTS","URL"
"java","asm:asm","3.3","BSD-3-Clause-INRIA,BSD","","https://mvnrepository.com/artifact/asm/asm"
"java","asm:asm-commons","3.3","BSD-3-Clause-INRIA,BSD","","https://mvnrepository.com/artifact/asm/asm-commons"
"java","asm:asm-tree","3.3","BSD-3-Clause-INRIA,BSD","","https://mvnrepository.com/artifact/asm/asm-tree"
"java","com.fasterxml.jackson.core:jackson-annotations","2.9.9","Apache-2.0","","https://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-annotations"
"java","com.fasterxml.jackson.core:jackson-core","2.9.9","Apache-2.0","Copyright (c) 2007 Tatu Saloranta, tatu.salorantaiki.fi/","https://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-core"
"java","com.fasterxml.jackson.core:jackson-databind","2.9.9","LGPL-3.0-only,Apache-2.0","Copyright 2011 Google Inc. All Rights Reserved.","https://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-databind"
"java","com.google.code.gson:gson","--","Apache-2.0","","https://mvnrepository.com/artifact/com.google.code.gson/gson"
"java","com.jgeppert.struts2.bootstrap:struts2-bootstrap-plugin","2.5.0","Apache-2.0","","https://mvnrepository.com/artifact/com.jgeppert.struts2.bootstrap/struts2-bootstrap-plugin"
"java","com.sun.xml.bind:jaxb-impl","2.1.11","CDDL-1.1","","https://mvnrepository.com/artifact/com.sun.xml.bind/jaxb-impl"
"java","com.sun.xml.bind:jaxb-xjc","2.1.11","CDDL-1.1","","https://mvnrepository.com/artifact/com.sun.xml.bind/jaxb-xjc"
"java","com.sun.xml.stream.buffer:streambuffer","--","EDL-1.0","","https://mvnrepository.com/artifact/com.sun.xml.stream.buffer/streambuffer"
"java","com.sun.xml.ws:jaxws-rt","--","EDL-1.0","","https://mvnrepository.com/artifact/com.sun.xml.ws/jaxws-rt"
"java","com.sun.xml.ws:jaxws-tools","--","SSPL-1.0,AAL","","https://mvnrepository.com/artifact/com.sun.xml.ws/jaxws-tools"
"java","commons-codec:commons-codec","1.4","Apache-2.0","","https://mvnrepository.com/artifact/commons-codec/commons-codec"
"java","commons-collections:commons-collections","3.2.1","Apache-2.0","","https://mvnrepository.com/artifact/commons-collections/commons-collections"
"java","commons-logging:commons-logging","1.1.3","Apache-2.0","","https://mvnrepository.com/artifact/commons-logging/commons-logging"
"java","commons-logging:commons-logging-api","1.1","Apache-2.0","","https://mvnrepository.com/artifact/commons-logging/commons-logging-api"
"java","epaypaweb-business","--","","",""
"java","epaypaweb-common","--","","",""
"java","epaypaweb-facade","--","","",""
"java","epaypaweb-integration","--","","",""
"java","epaypaweb-scheduler","--","","",""
"java","hibernate-core","4.2.18","LGPL-2.1","",""
"java","javax.inject-1-redhat-1","--","Apache-2.0","",""
"java","javax.mail:mail","1.4.5.redhat-2","CDDL-1.1,CDDL-1.0","","https://mvnrepository.com/artifact/javax.mail/mail"
"java","log4j:log4j","1.2.15","Apache-2.0","","https://mvnrepository.com/artifact/log4j/log4j"
"java","net.sf.json-lib:json-lib","2.3","Apache-2.0","","https://mvnrepository.com/artifact/net.sf.json-lib/json-lib"
"java","ognl:ognl","3.0.19","Apache-2.0","Copyright 2020 OGNL Contributors","https://mvnrepository.com/artifact/ognl/ognl"
"java","org.apache.commons:commons-lang3","3.2.1","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.commons/commons-lang3"
"java","org.apache.httpcomponents:httpclient","4.5.2","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.httpcomponents/httpclient"
"java","org.apache.httpcomponents:httpclient-cache","4.5.2","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.httpcomponents/httpclient-cache"
"java","org.apache.httpcomponents:httpclient-win","4.5.2","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.httpcomponents/httpclient-win"
"java","org.apache.httpcomponents:httpcore","4.4.4","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.httpcomponents/httpcore"
"java","org.apache.logging.log4j:log4j-api","2.17.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-api"
"java","org.apache.logging.log4j:log4j-core","2.17.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-core"
"java","org.apache.poi:poi","3.9","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.poi/poi"
"java","org.apache.poi:poi-ooxml","3.9","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.poi/poi-ooxml"
"java","org.apache.poi:poi-ooxml-schemas","3.9","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.poi/poi-ooxml-schemas"
"java","org.apache.poi:poi-scratchpad","3.9","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.poi/poi-scratchpad"
"java","org.apache.struts.xwork:xwork-core","2.3.31","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.struts.xwork/xwork-core"
"java","org.apache.struts:struts2-cdi-plugin","2.3.31","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.struts/struts2-cdi-plugin"
"java","org.apache.struts:struts2-convention-plugin","2.3.31","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.struts/struts2-convention-plugin"
"java","org.apache.struts:struts2-core","2.3.35","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.struts/struts2-core"
"java","org.apache.struts:struts2-json-plugin","2.3.31","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.struts/struts2-json-plugin"
"java","org.apache.xmlbeans:xmlbeans","2.6.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.xmlbeans/xmlbeans"
"java","org.freemarker:freemarker","2.3.22","Abstyles,Apache-2.0","Copyright 2014 Attila Szegedi, Daniel Dekany, Jonathan Revusky","https://mvnrepository.com/artifact/org.freemarker/freemarker"
"java","org.hibernate.common:hibernate-commons-annotations","4.0.2.Final","LGPL-2.0-only,LGPL-2.1-only","","https://mvnrepository.com/artifact/org.hibernate.common/hibernate-commons-annotations"
"java","org.hibernate.javax.persistence:hibernate-jpa-2.0-api","1.0.1.Final-redhat-3","Apache-2.0,MIT","","https://mvnrepository.com/artifact/org.hibernate.javax.persistence/hibernate-jpa-2.0-api"
"java","org.jboss.spec.javax.ejb:jboss-ejb-api_3.1_spec","1.0.2.Final-redhat-1","LGPL","","https://mvnrepository.com/artifact/org.jboss.spec.javax.ejb/jboss-ejb-api_3.1_spec"
"java","org.jboss.spec.javax.servlet:jboss-servlet-api_3.0_spec","1.0.2.Final-redhat-2","CDDL-1.0,GPL-2.0-only","","https://mvnrepository.com/artifact/org.jboss.spec.javax.servlet/jboss-servlet-api_3.0_spec"
