"LANGUAGE","NAME","VERSION","LICENSES","COPYRIGHTS","URL"
"java","aopalliance:aopalliance","1.0","PUBDOM","","https://mvnrepository.com/artifact/aopalliance/aopalliance"
"java","asm:asm","2.2.3","BSD","","https://mvnrepository.com/artifact/asm/asm"
"java","axis:axis","1.4","Apache-2.0","","https://mvnrepository.com/artifact/axis/axis"
"java","axis:axis-saaj","1.2.1","Apache-2.0","","https://mvnrepository.com/artifact/axis/axis-saaj"
"java","com.lowagie:itext","1.3","AGPL-3.0","","https://mvnrepository.com/artifact/com.lowagie/itext"
"java","com.opensymphony:xwork","2.0.5","OSL-1.0","","https://mvnrepository.com/artifact/com.opensymphony/xwork"
"java","com.sun.xml.bind:jaxb-impl","2.1.12","CDDL-1.1","","https://mvnrepository.com/artifact/com.sun.xml.bind/jaxb-impl"
"java","commons-beanutils:commons-beanutils","1.7.0","Apache-2.0","","https://mvnrepository.com/artifact/commons-beanutils/commons-beanutils"
"java","commons-beanutils:commons-beanutils-bean-collections","1.7.0","Apache-2.0","","https://mvnrepository.com/artifact/commons-beanutils/commons-beanutils-bean-collections"
"java","commons-beanutils:commons-beanutils-core","1.7.0","Apache","","https://mvnrepository.com/artifact/commons-beanutils/commons-beanutils-core"
"java","commons-collections:commons-collections","3.2","Apache-2.0","","https://mvnrepository.com/artifact/commons-collections/commons-collections"
"java","commons-digester:commons-digester","1.8","Apache-2.0","","https://mvnrepository.com/artifact/commons-digester/commons-digester"
"java","commons-discovery:commons-discovery","0.2","Apache-2.0","","https://mvnrepository.com/artifact/commons-discovery/commons-discovery"
"java","commons-fileupload:commons-fileupload","1.2","Apache-2.0","","https://mvnrepository.com/artifact/commons-fileupload/commons-fileupload"
"java","commons-httpclient:commons-httpclient","2.0.2","Apache-2.0","","https://mvnrepository.com/artifact/commons-httpclient/commons-httpclient"
"java","commons-io:commons-io","1.3.1","Apache-2.0","","https://mvnrepository.com/artifact/commons-io/commons-io"
"java","commons-lang:commons-lang","2.2","Apache-2.0","","https://mvnrepository.com/artifact/commons-lang/commons-lang"
"java","commons-logging:commons-logging","1.1","Apache-2.0","","https://mvnrepository.com/artifact/commons-logging/commons-logging"
"java","commons-logging:commons-logging-api","1.1","Apache-2.0","","https://mvnrepository.com/artifact/commons-logging/commons-logging-api"
"java","csi-apachesoap","1.4.5","Apache-2.0","",""
"java","csi-core","1.4.5","Apache-2.0","",""
"java","csi-ejb","1.4.5","Apache-2.0","",""
"java","csi-ejb-weblogic","1.4.5","Apache-2.0","",""
"java","csi-rmi","1.4.5","Apache-2.0","",""
"java","csi-stadapter","1.4.5","Apache-2.0","",""
"java","csi-tools","1.4.5","Apache-2.0","",""
"java","csiui-csiuicore","1.1.2","Apache-2.0","",""
"java","custom-component","2.2.0","","",""
"java","displaytag:displaytag","1.2","Artistic","","https://mvnrepository.com/artifact/displaytag/displaytag"
"java","displaytag:displaytag-export-poi","1.2","Artistic-2.0","","https://mvnrepository.com/artifact/displaytag/displaytag-export-poi"
"java","ejb","2.1","CDDL","",""
"java","freemarker:freemarker","2.3.8","Apache-2.0","","https://mvnrepository.com/artifact/freemarker/freemarker"
"java","iridev2-pep-intf","2.0.0","Apache-2.0","CSI Piemonte",""
"java","jaas","1.0","CDDL","","https://mvnrepository.com/artifact/jaas"
"java","javax.mail:mail","--","libpng-2.0","","https://mvnrepository.com/artifact/javax.mail/mail"
"java","javax.servlet:jstl","1.2","CDDL,GPL-2.0","","https://mvnrepository.com/artifact/javax.servlet/jstl"
"java","javax.xml.bind:activation","1.0.2","CDDL-1.1","","https://mvnrepository.com/artifact/javax.xml.bind/activation"
"java","javax.xml.bind:jaxb-api","2.1","CDDL-1.1","","https://mvnrepository.com/artifact/javax.xml.bind/jaxb-api"
"java","jaxp","1.1","Apache-2.0","",""
"java","jaxrpc","1.1","CDDL-1.0","","https://mvnrepository.com/artifact/jaxrpc"
"java","jboss-j2ee","4.3.0","Apache-2.0","",""
"java","jms","1.0.2","CDDL","","https://mvnrepository.com/artifact/jms"
"java","jndi","1.2.1","CDDL","","https://mvnrepository.com/artifact/jndi"
"java","log4j:log4j","1.2.8","Apache-2.0","","https://mvnrepository.com/artifact/log4j/log4j"
"java","mdpcoreinterfaces","2.0.0","","",""
"java","mdpiuvsrv-mdpiuv-client","1.0.0","","",""
"java","mdpnodospcclient-integration","1.0.0","","",""
"java","net.htmlparser.jericho:jericho-html","--","LGPL-3.0,Apache-2.0,EPL-2.0","","https://mvnrepository.com/artifact/net.htmlparser.jericho/jericho-html"
"java","net.sf.flexjson:flexjson","2.1","Apache-2.0","","https://mvnrepository.com/artifact/net.sf.flexjson/flexjson"
"java","opensymphony:ognl","2.6.10","iMatix","","https://mvnrepository.com/artifact/opensymphony/ognl"
"java","org.apache.cxf:cxf-bundle","2.2.5","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.cxf/cxf-bundle"
"java","org.apache.cxf:cxf-distribution-manifest","2.2.5","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.cxf/cxf-distribution-manifest"
"java","org.apache.geronimo.specs:geronimo-activation_1.1_spec","1.0.2","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.geronimo.specs/geronimo-activation_1.1_spec"
"java","org.apache.geronimo.specs:geronimo-activation_1.1_spec","1.1","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.geronimo.specs/geronimo-activation_1.1_spec"
