"LANGUAGE","NAME","VERSION","LICENSES","COPYRIGHTS","URL"
"java","axis:axis-saaj","1.2.1","Apache-2.0","","https://mvnrepository.com/artifact/axis/axis-saaj"
"java","com.sun.xml.bind:jaxb-impl","2.1.12","CDDL-1.1","","https://mvnrepository.com/artifact/com.sun.xml.bind/jaxb-impl"
"java","com.sun.xml.bind:jaxb-xjc","2.1.12","CDDL-1.1","","https://mvnrepository.com/artifact/com.sun.xml.bind/jaxb-xjc"
"java","com.sun.xml.bind:jaxb1-impl","2.1.12","CNRI-Python-GPL-Compatible,CDDL-1.1","","https://mvnrepository.com/artifact/com.sun.xml.bind/jaxb1-impl"
"java","com.thoughtworks.xstream:xstream","1.3","BSD","","https://mvnrepository.com/artifact/com.thoughtworks.xstream/xstream"
"java","commons-beanutils:commons-beanutils","1.9.1","Apache-2.0","","https://mvnrepository.com/artifact/commons-beanutils/commons-beanutils"
"java","commons-cli:commons-cli","1.2","Apache-2.0","","https://mvnrepository.com/artifact/commons-cli/commons-cli"
"java","commons-codec:commons-codec","1.6","Apache-2.0","","https://mvnrepository.com/artifact/commons-codec/commons-codec"
"java","commons-lang:commons-lang","2.5","Apache-2.0","","https://mvnrepository.com/artifact/commons-lang/commons-lang"
"java","commons-logging:commons-logging","1.1","Apache-2.0","","https://mvnrepository.com/artifact/commons-logging/commons-logging"
"java","commons-logging:commons-logging-api","1.1","Apache-2.0","","https://mvnrepository.com/artifact/commons-logging/commons-logging-api"
"java","fruitore","--","","",""
"java","javax.mail:mail","--","libpng-2.0","","https://mvnrepository.com/artifact/javax.mail/mail"
"java","javax.xml.bind:activation","1.0.2","CDDL-1.1","","https://mvnrepository.com/artifact/javax.xml.bind/activation"
"java","jaxb-api","2.1.12","CDDL+GPL","","https://mvnrepository.com/artifact/jaxb-api"
"java","log4j:log4j","1.2.8","Apache-2.0","","https://mvnrepository.com/artifact/log4j/log4j"
"java","mdpcoreinterfaces","--","","",""
"java","mdpdao","--","","",""
"java","mdpnodospcclient-integration","--","","",""
"java","org.apache.cxf.xjcplugins:cxf-xjc-boolean","2.2.5","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.cxf.xjcplugins/cxf-xjc-boolean"
"java","org.apache.cxf:cxf-distribution-manifest","2.2.5","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.cxf/cxf-distribution-manifest"
"java","org.apache.geronimo.specs:geronimo-activation_1.1_spec","1.0.2","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.geronimo.specs/geronimo-activation_1.1_spec"
"java","org.apache.geronimo.specs:geronimo-activation_1.1_spec","1.1","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.geronimo.specs/geronimo-activation_1.1_spec"
"java","org.apache.geronimo.specs:geronimo-annotation_1.0_spec","1.1.1","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.geronimo.specs/geronimo-annotation_1.0_spec"
"java","org.apache.geronimo.specs:geronimo-javamail_1.4_spec","1.6","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.geronimo.specs/geronimo-javamail_1.4_spec"
"java","org.apache.geronimo.specs:geronimo-jaxws_2.1_spec","1.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.geronimo.specs/geronimo-jaxws_2.1_spec"
"java","org.apache.geronimo.specs:geronimo-saaj_1.3_spec","1.0.1","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.geronimo.specs/geronimo-saaj_1.3_spec"
"java","org.apache.geronimo.specs:geronimo-stax-api_1.0_spec","1.0.1","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.geronimo.specs/geronimo-stax-api_1.0_spec"
"java","org.apache.geronimo.specs:geronimo-ws-metadata_2.0_spec","1.1.2","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.geronimo.specs/geronimo-ws-metadata_2.0_spec"
"java","org.apache.neethi:neethi","2.0.4","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.neethi/neethi"
"java","org.apache.ws.commons.schema:XmlSchema","1.4.7","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.ws.commons.schema/XmlSchema"
"java","org.apache.ws.security:wss4j","1.5.10","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.ws.security/wss4j"
"java","org.codehaus.woodstox:wstx-asl","3.2.9","Apache-2.0","","https://mvnrepository.com/artifact/org.codehaus.woodstox/wstx-asl"
"java","org.zenframework.z8.dependencies.commons:commons-io-2.2","2.0","MIT","","https://mvnrepository.com/artifact/org.zenframework.z8.dependencies.commons/commons-io-2.2"
"java","pagamenti","--","","",""
"java","postgresql:postgresql","9.0-801.jdbc3","BSD","","https://mvnrepository.com/artifact/postgresql/postgresql"
"java","riconciliazione-flussi","--","","",""
"java","riconciliazione-flussi-ext","--","","",""
"java","soap:soap","2.3.1","CDDL","","https://mvnrepository.com/artifact/soap/soap"
"java","utility","--","Apache-2.0","",""
"java","wsdl4j:wsdl4j","--","CPL-1.0","","https://mvnrepository.com/artifact/wsdl4j/wsdl4j"
"java","xml-resolver:xml-resolver","1.2","Apache-2.0","","https://mvnrepository.com/artifact/xml-resolver/xml-resolver"
